complex,type_geo,type_comp,hard,hard_gw,standard,standard_gw,soft,DZ,TZ,QZ,5Z
22,HB,E,-0.68557534,-0.68347771,-0.6978375,-0.69801594,-0.73178602,-0.6703884613,-0.6803320507,-0.6840077665,-0.6842347096
23,HB,E,-0.66759431,-0.66636407,-0.67696551,-0.67743691,-0.70837179,-0.6587749083,-0.6627254592,-0.6659965415,-0.666121986
24,pi_pi,D,0.22674332,0.22685698,0.22691098,0.22668926,0.22637078,0.2277354636,0.2273825318,0.2272758631,0.2272162701
25,pi_pi,D,0.19207479,0.19249999,0.1922088,0.19179117,0.19044506,0.19227248,0.1928183406,0.1926836442,0.1926308541
26,pi_pi,M,0.00170502,0.00217134,0.00153532,0.00036099,-0.00285347,0.002431610615,0.002198136811,0.001908607526,0.001828606013
27,pi_pi,D,0.20472113,0.20570799,0.20485542,0.20453781,0.20366377,0.2051913638,0.2054417086,0.2053353121,0.2052792566
28,pi_pi,D,0.16365376,0.1639571,0.16281109,0.16251846,0.1596632,0.1654463944,0.1644847435,0.1644768522,0.1644480081
29,pi_pi,D,0.1013146,0.10196823,0.10009794,0.0996212,0.09528168,0.1031869856,0.1015553901,0.1015006952,0.1014568848
30,pi_pi,D,0.14532756,0.14563246,0.14524201,0.14517751,0.144818,0.1468234571,0.145693912,0.1455472425,0.145507786
31,pi_pi,D,0.05476398,0.05516652,0.05446738,0.05425264,0.0531316,0.05771809842,0.05526852828,0.05519070368,0.05516430862
32,pi_pi,M,0.01279621,0.01353893,0.01221774,0.01202909,0.01029136,0.01632602306,0.01318337859,0.01326419644,0.01325004652
33,pi_pi,D,0.12916051,0.12954261,0.12899851,0.12892714,0.12816319,0.130702608,0.1295923829,0.1294076175,0.1293891138
34,sigma,D,0.13709656,0.13745116,0.13752121,0.13727606,0.1375463,0.1377977082,0.1376815155,0.1375288596,0.1374798791
35,sigma,D,0.09280456,0.09284792,0.09313645,0.09293708,0.09313829,0.09439661524,0.0933220371,0.09316992538,0.09312883617
36,sigma,D,0.0635684,0.06369927,0.06381274,0.06367052,0.06397625,0.06450053962,0.063864065,0.0637922269,0.06375794054
37,sigma,D,0.10088292,0.10129333,0.10124621,0.10102843,0.10127398,0.1021466938,0.1014185168,0.1012775617,0.1012296696
38,sigma,D,0.1083857,0.10870302,0.10873279,0.10852862,0.10872134,0.109268189,0.1089016515,0.1087737579,0.1087250495
39,sigma_pi,D,0.13597378,0.13606635,0.13641211,0.13614054,0.13622209,0.1368444929,0.1366910206,0.136520133,0.1364994523
40,sigma_pi,D,0.09681939,0.09704769,0.09725823,0.09699095,0.09710103,0.09799532276,0.09747776195,0.09733326943,0.09732320121
41,sigma_pi,D,0.13384801,0.13446379,0.13445094,0.13391162,0.13421081,0.1356028368,0.134553021,0.1344466244,0.1343704325
42,sigma_pi,D,0.12424789,0.12470199,0.12486043,0.12438647,0.12468153,0.1256320359,0.1248603207,0.1247288896,0.1246722899
43,sigma_pi,D,0.07425265,0.07463812,0.07441639,0.07412717,0.0737517,0.07571218024,0.07473719581,0.0746631808,0.07461338394
44,sigma_pi,D,0.06361957,0.0638587,0.06385124,0.06371619,0.06375616,0.06399712874,0.06399331914,0.06388719469,0.06386243231
45,sigma_pi,D,0.06281362,0.06297254,0.06300448,0.06288745,0.06278317,0.0627924801,0.06318214734,0.06311466307,0.06309289395
46,sigma_pi,D,0.1001619,0.10020203,0.10051219,0.10011713,0.09992401,0.1016634193,0.1007782325,0.1005970046,0.1005333299
47,others,D,0.07466297,0.07486794,0.07335947,0.07499211,0.07526984,0.07438752933,0.07530292079,0.0752836007,0.07530482559
48,others,D,0.04262562,0.04306007,0.04338515,0.04282333,0.04242475,0.04126853561,0.04370123468,0.0436081717,0.04361497455
49,others,D,0.05009633,0.04983539,0.05081176,0.0503667,0.05042107,0.04985509256,0.05081619918,0.05082300203,0.05084558749
50,others,M,-0.00603746,-0.00581268,-0.00487652,-0.00539155,-0.00436033,-0.004279264607,-0.005581602163,-0.005339148598,-0.005281460432
51,others,M,-0.02446629,-0.02426444,-0.02372314,-0.02401453,-0.02330721,-0.02231280295,-0.02394793592,-0.02407338047,-0.02404399216
52,others,M,-0.03569669,-0.03431395,-0.03588454,-0.03632913,-0.03805142,-0.0321187027,-0.03502760125,-0.03488637409,-0.03488827889
53,others,M,-0.04339657,-0.04313967,-0.04320444,-0.04368807,-0.04566538,-0.04542725372,-0.04280597965,-0.04271454935,-0.04274284921
54,others,M,-0.04099034,-0.04066705,-0.04176824,-0.04191601,-0.04418593,-0.04197875312,-0.04021110064,-0.04032021835,-0.04030443574
55,others,M,0.00269658,0.00323276,0.00227994,0.00209278,0.00066928,0.003738574109,0.003519522347,0.003458024585,0.003451493849
56,others,D,0.04548815,0.04573958,0.045833,0.04553938,0.04500985,0.04656605077,0.04603488426,0.04598291049,0.04599651619
57,others,D,0.02713659,0.02758632,0.0278167,0.02730282,0.02678394,0.02840271405,0.02805631294,0.02813767502,0.02814474999
58,others,M,-0.0514807,-0.05125018,-0.05146594,-0.05191181,-0.05620419,-0.05143389793,-0.05089075841,-0.05101320971,-0.05102572695
59,others,E,-0.0979982,-0.09776126,-0.10003227,-0.09982995,-0.10485322,-0.09650794769,-0.09668019585,-0.09713925215,-0.09717870868
60,others,E,-0.11902028,-0.11813106,-0.11985804,-0.12034855,-0.12345576,-0.1120527315,-0.1182261816,-0.1182313517,-0.118377477
61,others,D,0.06852191,0.06873189,0.06882657,0.0685172,0.06850646,0.06929382755,0.06900647518,0.06892266407,0.06886361534
62,others,D,0.07132735,0.07136612,0.07149802,0.07112047,0.07064068,0.07238613094,0.07183020205,0.07170013157,0.07163047039
63,others,D,0.05173722,0.052721,0.05173275,0.05130103,0.05013794,0.05123906432,0.05252289812,0.05235690859,0.05235690859
64,others,D,0.01357663,0.0137034,0.01353242,0.01323511,0.01199959,0.01357086891,0.01418992824,0.01401631951,0.01399618308
65,others,E,-0.11219407,-0.1118942,-0.11183317,-0.11223077,-0.1152635,-0.1109441391,-0.1110551616,-0.1113256429,-0.1113000642
66,others,M,0.0148617,0.01483364,0.01464488,0.01429125,0.01114515,0.01448462769,0.01574560392,0.01528899664,0.01527430249
